date,day,off,id,item_id,name,price,high,low,open,time,updated_at
1400-04-22,Tue,0,65116638,137203,price_dollar_rl,247590,249740,247090,249740,2021-07-13 00:00:00,2021-07-14 00:07:40
1400-04-23,Wed,0,65190474,137203,price_dollar_rl,246040,247640,244990,247610,2021-07-14 00:00:00,2021-07-15 00:09:18
1400-04-24,Thu,0,65266775,137203,price_dollar_rl,246990,247940,246190,246190,2021-07-15 00:00:00,2021-07-16 00:08:45
1400-04-25,Fri,0,65416247,137203,price_dollar_rl,247290,248340,247190,247610,2021-07-17 00:00:00,2021-07-18 00:07:00
1400-04-26,Sat,0,65416247,137203,price_dollar_rl,247290,248340,247190,247610,2021-07-17 00:00:00,2021-07-18 00:07:00
1400-04-27,Sun,0,65427596,137203,price_dollar_rl,245290,247640,245190,246890,2021-07-18 00:00:00,2021-07-19 00:05:55
1400-04-28,Mon,0,65444112,137203,price_dollar_rl,244640,245640,244090,245600,2021-07-19 00:00:00,2021-07-20 00:07:27
1400-04-29,Tue,0,65533204,137203,price_dollar_rl,245190,245440,244790,244820,2021-07-20 00:00:00,2021-07-21 00:08:12
1400-04-30,Wed,0,65533204,137203,price_dollar_rl,245190,245440,244790,244820,2021-07-20 00:00:00,2021-07-21 00:08:12
1400-04-31,Thu,0,65672006,137203,price_dollar_rl,246280,246340,246190,246240,2021-07-22 00:00:00,2021-07-23 00:07:30
1400-05-01,Fri,0,65672006,137203,price_dollar_rl,246280,246340,246190,246240,2021-07-22 00:00:00,2021-07-23 00:07:30
1400-05-02,Sat,0,65811564,137203,price_dollar_rl,247090,247340,246190,246190,2021-07-24 00:00:00,2021-07-25 00:06:48
1400-05-03,Sun,0,65826519,137203,price_dollar_rl,247790,249630,247490,247490,2021-07-25 00:00:00,2021-07-26 00:06:00
1400-05-04,Mon,0,65850548,137203,price_dollar_rl,250490,251040,247890,248130,2021-07-26 00:00:00,2021-07-27 00:07:23
1400-05-05,Tue,0,65937772,137203,price_dollar_rl,251660,252340,250690,250780,2021-07-27 00:00:00,2021-07-28 00:08:36
1400-05-06,Wed,0,66011716,137203,price_dollar_rl,255990,256240,251690,251800,2021-07-28 00:00:00,2021-07-29 00:07:47
1400-05-07,Thu,0,66011716,137203,price_dollar_rl,255990,256240,251690,251800,2021-07-28 00:00:00,2021-07-29 00:07:47
1400-05-08,Fri,0,66237320,137203,price_dollar_rl,257290,260640,256990,260270,2021-07-31 00:00:00,2021-08-01 00:06:19
1400-05-09,Sat,0,66237320,137203,price_dollar_rl,257290,260640,256990,260270,2021-07-31 00:00:00,2021-08-01 00:06:19
1400-05-10,Sun,0,66248145,137203,price_dollar_rl,254890,257640,254290,257190,2021-08-01 00:00:00,2021-08-02 00:04:38
1400-05-11,Mon,0,66266054,137203,price_dollar_rl,255190,256640,254590,255690,2021-08-02 00:00:00,2021-08-03 00:06:16
1400-05-12,Tue,0,66347493,137203,price_dollar_rl,257290,258140,255690,255790,2021-08-03 00:00:00,2021-08-04 00:07:07
1400-05-13,Wed,0,66419390,137203,price_dollar_rl,256190,257340,254690,257250,2021-08-04 00:00:00,2021-08-05 00:07:20
1400-05-14,Thu,0,66500220,137203,price_dollar_rl,256190,256740,255790,256490,2021-08-05 00:00:00,2021-08-06 00:07:51
1400-05-15,Fri,0,66650172,137203,price_dollar_rl,256380,257140,253990,254190,2021-08-07 00:00:00,2021-08-08 00:04:48
1400-05-16,Sat,0,66650172,137203,price_dollar_rl,256380,257140,253990,254190,2021-08-07 00:00:00,2021-08-08 00:04:48
1400-05-17,Sun,0,66661530,137203,price_dollar_rl,256890,257440,252390,256290,2021-08-08 00:00:00,2021-08-09 00:04:55
1400-05-18,Mon,0,66691562,137203,price_dollar_rl,259090,259940,256190,256340,2021-08-09 00:00:00,2021-08-10 00:05:58
1400-05-19,Tue,0,66781688,137203,price_dollar_rl,263340,263940,258990,258990,2021-08-10 02:30:00,2021-08-11 02:39:13
1400-05-20,Wed,0,66860331,137203,price_dollar_rl,266090,267640,263790,264690,2021-08-11 00:00:00,2021-08-12 00:09:12
1400-05-21,Thu,0,66936027,137203,price_dollar_rl,264290,266840,262890,265890,2021-08-12 00:00:00,2021-08-13 00:08:57
1400-05-22,Fri,0,66936027,137203,price_dollar_rl,264290,266840,262890,265890,2021-08-12 00:00:00,2021-08-13 00:08:57
1400-05-23,Sat,0,67084008,137203,price_dollar_rl,263190,267240,262590,263110,2021-08-14 00:00:00,2021-08-15 00:09:45
1400-05-24,Sun,0,67112065,137203,price_dollar_rl,268990,269540,263490,263490,2021-08-15 00:00:00,2021-08-16 00:09:01
1400-05-25,Mon,0,67129011,137203,price_dollar_rl,269070,269140,268990,269110,2021-08-16 00:00:00,2021-08-17 00:08:51
1400-05-26,Tue,0,67214996,137203,price_dollar_rl,268990,269140,268990,269080,2021-08-17 00:00:00,2021-08-18 00:09:51
1400-05-27,Wed,0,67214996,137203,price_dollar_rl,268990,269140,268990,269080,2021-08-17 00:00:00,2021-08-18 00:09:51
1400-05-28,Thu,0,67511685,137203,price_dollar_rl,272500,272500,268990,269030,2021-08-21 00:00:00,2021-08-22 11:08:53
